Day,Utilization,Borrow APR,Reserve Factor,Borrow Balance (USD),Supply (USD)
1,0.3,0.06749999999999999,0.05,62011.09589041096,200000
2,0.3100554794520548,0.06976248287671233,0.05,64022.94807675403,200000
3,0.32011474038377014,0.07202581658634828,0.05,66035.58178939922,200000
4,0.3301779089469961,0.07429002951307412,0.05,68049.02229712538,200000
5,0.3402451114856269,0.07655515008426605,0.05,70063.29490839948,200000
6,0.3503164745419974,0.07882120677194941,0.05,72078.42497266002,200000
7,0.36039212486330013,0.08108822809424251,0.05,74094.43788160484,200000
8,0.37047218940802423,0.08335624261680544,0.05,76111.35907048323,200000
9,0.38055679535241616,0.08562527895429363,0.05,78129.21401939282,200000
10,0.3906460700969641,0.08789536577181692,0.05,80148.02825458103,200000
11,0.4007401412729052,0.09016653178640366,0.05,82167.82734975153,200000
12,0.41083913674875766,0.09243880576847047,0.05,84188.63692737564,200000
13,0.4209431846368782,0.09471221654329759,0.05,86210.48266000893,200000
14,0.4310524133000446,0.09698679299251003,0.05,88233.39027161313,200000
15,0.44116695135806566,0.09926256405556476,0.05,90257.38553888348,200000
16,0.4512869276944174,0.1015395587312439,0.05,92282.4942925817,200000
17,0.4614124714629085,0.10381780607915439,0.05,94308.74241887477,200000
18,0.47154371209437385,0.1060973352212341,0.05,96336.15586067944,200000
19,0.4816807793033972,0.10837817534326435,0.05,98364.76061901305,200000
20,0.49182380309506524,0.11066035569638967,0.05,100394.58275435028,200000
21,0.5019729137717515,0.11294390559864408,0.1,102425.64838798651,200000
22,0.5121282419399326,0.11522885443648481,0.1,104457.9837034075,200000
23,0.5222899185170375,0.11751523166633343,0.1,106491.61494766588,200000
24,0.5324580747383294,0.11980306681612411,0.1,108526.56843276432,200000
25,0.5426328421638216,0.12209238948685985,0.1,110562.87053704588,200000
26,0.5528143526852294,0.1243832293541766,0.1,112600.54770659126,200000
27,0.5630027385329562,0.12667561616991516,0.1,114639.62645662359,200000
28,0.573198132283118,0.12896957976370155,0.1,116680.13337292052,200000
29,0.5834006668646026,0.13126515004453557,0.1,118722.09511323398,200000
30,0.59361047556617,0.13356235700238825,0.1,120765.53840871778,200000
31,0.6038276920435889,0.1358612307098075,0.1,122810.4900653631,200000
32,0.6140524503268155,0.13816180132353348,0.1,124856.97696544217,200000
33,0.6242848848272109,0.14046409908612245,0.1,126905.02606896016,200000
34,0.6345251303448007,0.14276815432758017,0.1,128954.66441511567,200000
35,0.6447733220755784,0.1450739974670051,0.1,131005.91912376968,200000
36,0.6550295956188484,0.14738165901424088,0.1,133058.8173969235,200000
37,0.6652940869846174,0.1496911695715389,0.1,135113.38652020556,200000
38,0.6755669326010278,0.15200255983523125,0.1,137169.65386436743,200000
39,0.6858482693218372,0.15431586059741334,0.1,139227.64688678915,200000
40,0.6961382344339457,0.15663110274763778,0.1,141287.39313299418,200000
41,0.7064369656649709,0.15894831727461844,0.1,143348.92023817392,200000
42,0.7167446011908696,0.16126753526794563,0.1,145412.2559287222,200000
43,0.727061279643611,0.16358878791981246,0.1,147477.4280237799,200000
