Day,Interest Revenue (USD),Borrow Fee Revenue (USD),Total Protocol Revenue (USD)
1,0.5547945205479451,2.0,2.554794520547945
2,0.5926093171535564,2.0,2.5926093171535562
3,0.6316856322593953,2.0,2.631685632259395
4,0.6720253863078751,2.0,2.672025386307875
5,0.7136305637046577,2.0,2.713630563704658
6,0.7565032130272638,2.0,2.7565032130272638
7,0.8006454472406578,2.0,2.8006454472406577
8,0.8460594439198457,2.0,2.8460594439198457
9,0.8927474454795252,2.0,2.8927474454795252
10,0.9407117594108354,2.0,2.9407117594108354
11,0.9899547585252411,2.0,2.989954758525241
12,1.0404788812056025,2.0,3.0404788812056025
13,1.0922866316644744,2.0,3.092286631664474
14,1.1453805802096797,2.0,3.1453805802096797
15,1.1997633635172114,2.0,3.1997633635172114
16,1.2554376849115048,2.0,3.255437684911505
17,1.3124063146531395,2.0,3.3124063146531393
18,1.3706720902340244,2.0,3.3706720902340246
19,1.4302379166801042,2.0,3.4302379166801042
20,1.4911067668616722,2.0,3.491106766861672
21,3.10656336362263,2.0,5.10656336362263
22,3.2335315420991435,2.0,5.2335315420991435
23,3.363124425836717,2.0,5.363124425836717
24,3.495348509844432,2.0,5.4953485098444315
25,3.630210428154907,2.0,5.630210428154907
26,3.7677169545384963,2.0,5.767716954538496
27,3.9078750032335274,2.0,5.907875003233528
28,4.050691629692731,2.0,6.050691629692731
29,4.196174031345982,2.0,6.196174031345982
30,4.344329548379521,2.0,6.344329548379521
31,4.49516566453176,2.0,6.49516566453176
32,4.648690007905885,2.0,6.648690007905885
33,4.804910351799336,2.0,6.804910351799336
34,4.963834615550381,2.0,6.963834615550381
35,5.125470865401914,2.0,7.125470865401914
36,5.289827315382642,2.0,7.289827315382642
37,5.456912328205838,2.0,7.456912328205838
38,5.62673441618583,2.0,7.62673441618583
39,5.799302242172374,2.0,7.799302242172374
40,5.974624620503152,2.0,7.974624620503152
41,6.152710517974496,2.0,8.152710517974496
42,6.333569054830586,2.0,8.333569054830587
43,6.517209505771297,2.0,8.517209505771298
44,6.703641300978856,2.0,8.703641300978855
45,6.892874027163574,2.0,8.892874027163574
46,7.084917428628758,2.0,9.084917428628758
47,7.279781408355129,2.0,9.279781408355129
48,7.477476029104853,2.0,9.477476029104853
49,7.678011514545441,2.0,9.67801151454544
50,7.881398250393764,2.0,9.881398250393765
51,21.7981350631632,2.0,23.7981350631632
52,28.339780022493024,2.0,30.339780022493024
53,35.147493805853664,2.0,37.147493805853664
54,42.23326135000831,2.0,44.23326135000831
55,49.60981109883631,2.0,51.60981109883631
56,57.2906689102488,2.0,59.2906689102488
57,65.29021664374908,2.0,67.29021664374908
58,73.62375589506057,2.0,75.62375589506057
59,82.30757739725982,2.0,84.30757739725982
60,91.35903666763134,2.0,93.35903666763134
61,100.79663654696347,2.0,102.79663654696347
62,110.64011735434536,2.0,112.64011735434536
63,120.91055546698789,2.0,122.91055546698789
64,131.63047123267393,2.0,133.63047123267393
65,142.82394723388646,2.0,144.82394723388646
66,154.51675804948627,1.4709998629351322,155.98775791242142
67,164.3835616438356,0.0,164.3835616438356
68,165.05911052730343,0.0,165.05911052730343
69,165.73743563905947,0.0,165.73743563905947
70,166.41854838826112,0.0,166.41854838826112
71,167.1024602309526,0.0,167.1024602309526
72,167.78918267025787,0.0,167.78918267025787
73,168.478727256574,0.0,168.478727256574
74,169.1711055877654,0.0,169.1711055877654
75,169.86632930935897,0.0,169.86632930935897
76,170.5644101147399,0.0,170.5644101147399
77,171.26535974534843,0.0,171.26535974534843
78,171.96918999087725,0.0,171.96918999087725
79,172.6759126894699,0.0,172.6759126894699
80,173.3855397279198,0.0,173.3855397279198
81,174.09808304187015,0.0,174.09808304187015
82,174.8135546160148,0.0,174.8135546160148
83,175.5319664842998,0.0,175.5319664842998
84,176.2533307301257,0.0,176.2533307301257
85,176.97765948655086,0.0,176.97765948655086
86,177.70496493649557,0.0,177.70496493649557
87,178.43525931294693,0.0,178.43525931294693
88,179.16855489916452,0.0,179.16855489916452
89,179.90486402888712,0.0,179.90486402888712
90,180.64419908654008,0.0,180.64419908654008
