Day,Price,DEX ONE Reserve,DEX USDC Reserve,DEX TVL (USD),LP APY (fees+emissions),Save Utilization,Save Supply (USD),Save Borrow Balance (USD),Save APY (supply+emissions),Save Emissions USD/day,Depth to +1% (USDC),ONE idle (outside LP)
1,88543.34767042067,51.29884394107792,4542171.374165515,8800000.0,27.375,0.3,2000000.0,620110.9589041095,1.9237499999999998,0.0,27253.028244993093,28.543029839028236
2,89073.3619092784,52.59181503786033,4684529.774333163,9084342.74833103,27.375,0.31005547945205475,2000000.0,640229.4807675403,2.054872807229956,0.0,28107.178645998974,27.092888145204043
3,89590.74018783,53.87864105954479,4827027.332839027,9369059.548666326,27.375,0.32011474038377014,2000000.0,660355.8178939922,2.190369929859453,0.0,28962.163997034157,25.64981295694763
4,90096.12953575914,55.15905061701734,4969616.96946029,9654054.665678054,27.375,0.3301779089469961,2000000.0,680490.2229712538,2.3302480270225563,0.0,29817.701816761743,24.21404363132779
5,90590.13131828415,56.432772939170796,5112252.311214395,9939233.93892058,27.375,0.3402451114856269,2000000.0,700632.9490839947,2.4745139796459004,0.0,30673.513867286376,22.785820882835207
6,91073.30546443365,57.69953766956281,5254887.61933669,10224504.62242879,27.375,0.3503164745419974,2000000.0,720784.2497266001,2.623174891172037,0.0,31529.325716020136,21.365386821754164
7,91546.17422036023,58.95907468087731,5397477.722606824,10509775.23867338,27.375,0.3603921248633001,2000000.0,740944.3788160483,2.7762380883069806,0.0,32384.866335640945,19.95298499210532
8,92009.22549024087,60.21111390503456,5539977.956306903,10794955.445213648,27.375,0.3704721894080241,2000000.0,761113.5907048322,2.9337111217920633,0.0,33239.86773784142,18.548860409130764
9,92462.9158179282,61.45538517711395,5682344.10618984,11079955.912613805,27.375,0.3805567953524161,2000000.0,781292.1401939281,3.0956017672002525,0.0,34094.06463713904,17.153259596291
10,92907.67305470644,62.691618091519665,5824532.356917428,11364688.21237968,27.375,0.39064607009696406,2000000.0,801480.2825458103,3.2619180257570703,0.0,34947.194141504566,15.766430621741993
11,93343.89875197766,63.919541869044146,5966499.244496853,11649064.713834856,27.375,0.4007401412729052,2000000.0,821678.2734975154,3.432668125186273,0.0,35798.99546698112,14.388623134258689
12,93771.97031222681,65.13888523367329,6108201.6123035615,11932998.488993706,27.375,0.41083913674875766,2000000.0,841886.3692737565,3.6078605205804264,0.0,36649.20967382137,13.020088398569804
13,94192.24292700182,66.34937629813795,6249596.570329267,12216403.224607123,27.375000000000004,0.42094318463687824,2000000.0,862104.8266000894,3.787503895296565,0.0,37497.5794219756,11.661079330066862
