Day,Price,DEX ONE Reserve,DEX USDC Reserve,DEX TVL (USD),LP APY (fees+emissions),Save Utilization,Save Supply (USD),Save Borrow Balance (USD),Save APY (supply+emissions),Save Emissions USD/day,Depth to +1% (USDC),ONE idle (outside LP)
1,88607.59839463678,45.86592336850114,4064069.317835335,8800000.0,27.375,0.3,2000000.0,620110.9589041095,220.92374999999998,12000.0,24384.41590701201,33.976007751871194
2,89281.92929643282,41.7329544477258,3725998.6883331067,8128138.63567067,27.375,0.30698562321985623,2020000.0,640428.3072837439,218.84606686327808,12000.0,22355.99212999864,37.9504773897205
3,90037.68062051736,37.601294929109855,3385533.383745072,7451997.376666213,27.375,0.31390466977930787,2040200.0,660954.2320047601,216.791044849151,12000.0,20313.20030247043,41.92332904271683
4,90894.95267875354,33.47117772809241,3042361.1156971087,6771066.767490145,27.375,0.32075783290745136,2060602.0,681690.9407872244,214.7584218262196,12000.0,18254.16669418265,45.894479864703754
5,91882.28774596952,29.34287737709882,2696090.702457293,6084722.231394217,27.375,0.32754579755426105,2081208.02,702640.6624273594,212.7479390247022,12000.0,16176.544214743759,49.86384398645582
6,93042.16354690252,25.216726404442564,2346218.78223964,5392181.404914586,27.375,0.33426924050845447,2102020.1002,723805.6470214977,210.75934098596133,12000.0,14077.312693437843,53.831332470251645
7,94441.82184668713,21.093142921616323,1992074.8459899987,4692437.56447928,27.375,0.34092883051334505,2123040.301202,745188.1661920672,208.79237551295358,12000.0,11952.449075939992,57.796853266914304
8,96197.14665262296,16.97268143964971,1632723.5255382347,3984149.691979997,27.375,0.3475252283807212,2144270.70421402,766790.5133156308,206.84679362158053,12000.0,9796.341153229409,61.760311175468026
9,98534.44932716517,12.856139301798548,1266772.6065760457,3265447.0510764695,27.375,0.3540590871027925,2165713.4112561606,788615.003753007,204.9223494929227,12000.0,7600.635639456274,65.7216078055584
10,101995.92810852606,8.744830043589989,891937.0564472834,2533545.2131520915,27.375,0.3605310519622414,2187370.545368722,810663.9750814934,203.0188004263358,12000.0,5351.622338683699,69.68064154278093
11,108256.48335803061,4.853270121767217,525397.9561691199,1783874.1128945667,27.375,0.3669417606404167,2209244.2508224095,832939.78732922,201.13590679339114,12000.0,3152.3877370147193,73.42547158637092
12,114768.90835071479,4.713562782167085,540970.4549518744,1050795.9123382398,27.375,0.37329184332370824,2231336.6933306335,855444.823211657,199.27343199264106,12000.0,3245.822729711247,73.42547158637092
13,121539.5259942431,4.5803920508035,556698.6787224564,1081940.909903749,27.375,0.37958192280813563,2253650.0602639397,878181.4883703004,197.4311424051918,12000.0,3340.1920723347384,73.42547158637092
14,128574.79888998247,4.453315810516547,572584.1847307443,1113397.357444913,27.375,0.3858126146021894,2276186.560866579,901152.2116135628,195.6088073510666,12000.0,3435.505108384466,73.42547158637092
15,135881.33226687807,4.331930928105839,588628.5457991151,1145168.3694614887,27.375,0.39198452702795616,2298948.4264752446,924359.4451598937,193.80619904634108,12000.0,3531.771274794691,73.42547158637092
16,143465.87697556068,4.215869050040397,604833.3504781695,1177257.0915982302,27.375,0.39809826132056314,2321937.910739997,947805.6648831554,192.02309256103547,12000.0,3629.000102869017,73.42547158637092
17,151335.33254390833,4.104792930783562,621200.2032040145,1209666.700956339,27.375,0.40415441172597455,2345157.289847397,971493.3705602795,159.13128970721567,10000.0,3727.201219224087,73.42547158637092
18,159496.75029531048,3.9983932166414076,637730.7244571178,1242400.406408029,27.375,0.41015356559717114,2368608.862745871,995425.0861212316,157.694721063348,10000.0,3826.3843467427073,73.42547158637092
19,167957.3365309079,3.896385620537173,654426.5509227524,1275461.4489142357,27.375,0.41609630348874593,2392294.9513733294,1019603.3599013083,156.2739446993546,10000.0,3926.559305536515,73.42547158637092
20,176724.4557771067,3.798508433375544,671289.3356530431,1308853.1018455047,27.375,0.4219831992499446,2416217.900887063,1044030.764895795,154.86877690702408,10000.0,4027.736013918259,73.42547158637092
21,185805.63409969272,3.70452032612382,688320.7482306368,1342578.6713060862,27.375,0.42781482011618294,2440380.0798959336,1068709.899017009,153.47903633320493,10000.0,4129.924489383821,73.42547158637092
22,195208.56248589672,3.614198403745627,705522.4749340065,1376641.4964612736,27.375000000000004,0.4335917267990689,2464783.880694893,1093643.3853537564,152.10454394487002,10000.0,4233.134849604039,73.42547158637092
23,204941.10029579073,3.527336477949305,722896.2189044098,1411044.949868013,27.375,0.4393144735749588,2489431.7195018423,1118833.8724332296,150.74512299480222,10000.0,4337.377313426458,73.42547158637092
24,215011.27878442226,3.4437435305750244,740443.7003145171,1445792.4378088196,27.375,0.4449836083720759,2514326.0366968606,1144284.0344853706,149.40059898788888,10000.0,4442.662201887103,73.42547158637092
