Day,Utilization,Supply (USD),Supply APR (from interest),Supplier Interest (USD),ONE-EMIT Emissions (tokens),Emissions Value (USD),Supplier Net (USD),"Supplier Net APY (annualized, %)",Cumulative Interest (USD),Cumulative Emissions Value (USD),Cumulative Supplier Net (USD)
1,0.3,200000.0,0.019237499999999998,10.541095890410958,1200.0,2400.0,2410.541095890411,439.92375,10.541095890410958,2400.0,2410.541095890411
2,0.3100554794520548,200000.0,0.020548728072299564,11.25957702591757,1200.0,2400.0,2411.2595770259177,440.05487280722997,21.80067291632853,4800.0,4821.800672916329
3,0.32011474038377014,200000.0,0.02190369929859453,12.00202701292851,1200.0,2400.0,2412.0020270129285,440.1903699298595,33.80269992925704,7200.0,7233.802699929257
4,0.3301779089469961,200000.0,0.023302480270225565,12.768482339849626,1200.0,2400.0,2412.7684823398495,440.33024802702255,46.571182269106664,9600.0,9646.571182269106
5,0.3402451114856269,200000.0,0.024745139796459002,13.558980710388495,1200.0,2400.0,2413.5589807103884,440.4745139796459,60.13016297949516,12000.0,12060.130162979494
6,0.3503164745419974,200000.0,0.026231748911720372,14.373561047518013,1200.0,2400.0,2414.373561047518,440.623174891172,74.50372402701318,14400.0,14474.503724027014
7,0.36039212486330013,200000.0,0.027762380883069808,15.212263497572497,1200.0,2400.0,2415.2122634975726,440.77623808830697,89.71598752458567,16800.0,16889.715987524585
8,0.37047218940802423,200000.0,0.029337111217920646,16.075129434477066,1200.0,2400.0,2416.0751294344773,440.9337111217921,105.79111695906273,19200.0,19305.791116959062
9,0.38055679535241616,200000.0,0.030956017672002532,16.962201464110976,1200.0,2400.0,2416.962201464111,441.0956017672002,122.75331842317371,21600.0,21722.753318423172
10,0.3906460700969641,200000.0,0.03261918025757072,17.87352342880587,1200.0,2400.0,2417.873523428806,441.2619180257571,140.62684185197958,24000.0,24140.62684185198
11,0.4007401412729052,200000.0,0.03432668125186273,18.809140411979577,1000.0,2000.0,2018.8091404119796,368.43266812518624,159.43598226395915,26000.0,26159.43598226396
12,0.41083913674875766,200000.0,0.03607860520580426,19.769098742906444,1000.0,2000.0,2019.7690987429064,368.6078605205804,179.20508100686558,28000.0,28179.205081006865
13,0.4209431846368782,200000.0,0.03787503895296564,20.753446001625008,1000.0,2000.0,2020.753446001625,368.7875038952966,199.9585270084906,30000.0,30199.95852700849
14,0.4310524133000446,200000.0,0.03971607161877064,21.76223102398391,1000.0,2000.0,2021.762231023984,368.97160716187705,221.7207580324745,32000.0,32221.720758032476
